,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
75,Lustau,Península Palo Cortado Sherry (Solera Reserva) N.V.,Spain_Jerez-Xérès-Sherry,3.9,$27.99,Port,Spain,Jerez-Xérès-Sherry,N.V.,Sherry
76,Quinta da Romaneira,Tawny Port 10 Year Old N.V.,Portugal_Porto,4.0,$28.99,Port,Portugal,Porto,N.V.,Tawny
77,Sandeman,40 Years Old Tawny Porto N.V.,Portugal_Porto,4.6,$159.99,Port,Portugal,Porto,N.V.,Tawny
78,W. & J. Graham's,Quinta dos Malvedos Vintage Port 2004,Portugal_Porto,4.2,$49.99,Port,Portugal,Porto,2004,Vintage
79,Burmester,White Porto N.V.,Portugal_Porto,3.6,$25.99,Port,Portugal,Porto,N.V.,White
80,Taylor's,Vintage Port 2003,Portugal_Porto,4.5,$149.99,Port,Portugal,Porto,2003,Vintage
81,W. & J. Graham's,Vintage Port 1983,Portugal_Porto,4.4,$188.99,Port,Portugal,Porto,1983,Vintage
82,Blandy's,5 Year Old Bual Madeira (Medium Rich) N.V.,Portugal_Bual Madeira,3.8,$26.99,Port,Portugal,Bual Madeira,N.V.,Port
83,Marco de Bartoli,Marsala Superiore Riserva 10 Anni N.V.,Italy_Marsala,4.2,$69.99,Port,Italy,Marsala,N.V.,10
84,Castello d'Alba,Porto 10 Years Old N.V.,Portugal_Porto,3.9,$29.99,Port,Portugal,Porto,N.V.,10
85,Henriques & Henriques,Sercial 10 Years Old Madeira N.V.,Portugal_Madeira,4.0,$59.99,Port,Portugal,Madeira,N.V.,10
86,W. & J. Graham's,Late Bottled Vintage Port 2014,Portugal_Porto,3.9,$25.99,Port,Portugal,Porto,2014,Vintage
87,Emilio Hidalgo,La Panesa Especial Fino N.V.,Spain_Fino Sherry,4.0,$69.99,Port,Spain,Fino Sherry,N.V.,Port
88,W. & J. Graham's,Vintage Port 1994,Portugal_Porto,4.3,$99.99,Port,Portugal,Porto,1994,Vintage
89,Taylor's,Vintage Port 2011,Portugal_Porto,4.5,$99.99,Port,Portugal,Porto,2011,Vintage
90,Rare Wine Co.,Boston Bual (Special Reserve) N.V.,Portugal_Madeira,4.2,$55.99,Port,Portugal,Madeira,N.V.,Port
91,W. & J. Graham's,Single Harvest Tawny Port 1972,Portugal_Porto,4.8,$399.99,Port,Portugal,Porto,1972,Tawny
92,Quinta do Crasto,Late Bottled Vintage Port 2013,Portugal_Porto,4.0,$28.99,Port,Portugal,Porto,2013,Vintage
93,Barbadillo,Obispo Gascon Palo Cortado Sherry N.V.,Spain_Palo Cortado Sherry,3.9,$51.99,Port,Spain,Palo Cortado Sherry,N.V.,Sherry
94,Dow's,30 Years Old Tawny Port N.V.,Portugal_Porto,4.5,$116.99,Port,Portugal,Porto,N.V.,Tawny
95,Warre's,Late Bottled Vintage Port 2002,Portugal_Porto,4.2,$33.99,Port,Portugal,Porto,2002,Vintage
