,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
88,Veuve Clicquot,La Grande Dame Brut Champagne 2008,France_Champagne,4.4,$129.99,Sparkling,France,Champagne,2008,Brut
89,Marco Negri,Marsilio Moscato d'Asti N.V.,Italy_Moscato d'Asti,4.4,$25.99,Sparkling,Italy,Moscato d'Asti,N.V.,Moscato
90,Taittinger,Comtes de Champagne Rosé 2006,France_Champagne,4.4,$339.99,Sparkling,France,Champagne,2006,Rosé
91,Nicolas Feuillatte,Palmes d'Or Vintage Brut Champagne 2002,France_Champagne,4.4,$139.99,Sparkling,France,Champagne,2002,Brut
92,Deutz,Cuvée William Deutz Millesimé Brut Champagne 2006,France_Champagne,4.4,$180.99,Sparkling,France,Champagne,2006,Brut
93,Pol Roger,Blanc de Blancs Champagne (Extra Cuvée de Réserve) 2002,France_Champagne,4.4,$155.99,Sparkling,France,Champagne,2002,Blanc de Blanc
94,Billecart-Salmon,Cuvée Nicolas François Billecart Brut Champagne 2006,France_Champagne,4.4,$199.99,Sparkling,France,Champagne,2006,Brut
95,Bollinger,La Grande Année Rosé Brut Champagne 2007,France_Champagne,4.4,$199.99,Sparkling,France,Champagne,2007,Brut
96,Gaston Chiquet,Spécial Club Brut Champagne 2009,France_Champagne,4.4,$99.99,Sparkling,France,Champagne,2009,Brut
97,Larmandier-Bernier,Vieille Vigne du Levant Champagne Grand Cru 2009,France_Champagne Grand Cru,4.4,$135.99,Sparkling,France,Champagne Grand Cru,2009,Champagne
98,Vve Fourny & Fils,Cuvée du Clos Notre Dame Brut Champagne Premier Cru N.V.,France_Champagne Premier Cru,4.4,$164.98,Sparkling,France,Champagne Premier Cru,N.V.,Brut
99,Andre Clouet,Un Jour de 1911 Brut Champagne Grand Cru 'Bouzy' 1911,France_Champagne Grand Cru 'Bouzy',4.4,$125,Sparkling,France,Champagne Grand Cru 'Bouzy',1911,Brut
100,Sunset Meadow,Shades of Risqué N.V.,United States_Connecticut,4.4,$16.99,Sparkling,United States,Connecticut,N.V.,Sparkling
101,Piper-Heidsieck,Rare Brut Champagne (Millesimé) 2006,France_Champagne,4.4,$149.95,Sparkling,France,Champagne,2006,Brut
102,Roses de Jeanne,Côte de Val Vilaine Champagne 2017,France_Champagne,4.4,$82,Sparkling,France,Champagne,2017,Champagne
103,Perrier-Jouët,Fleur de Champagne 2012,France_Champagne,4.4,$169.99,Sparkling,France,Champagne,2012,Champagne
104,Bruno Paillard,Assemblage Brut Champagne 2009,France_Champagne,4.4,$79.99,Sparkling,France,Champagne,2009,Brut
105,Nicolas Feuillatte,Palmes d'Or Cuvée Brut Rosé Champagne 2006,France_Champagne,4.4,$269.99,Sparkling,France,Champagne,2006,Brut
106,Armand de Brignac,Demi-Sec Champagne N.V.,France_Champagne,4.4,$449.99,Sparkling,France,Champagne,N.V.,Demi-Sec
107,Moussé Fils,Special Club Champagne 2012,France_Champagne,4.4,$99.99,Sparkling,France,Champagne,2012,Champagne
108,Agusti Torello Mata,Cava Kripta Gran Reserva Brut Nature 2010,Spain_Cava,4.4,$95,Sparkling,Spain,Cava,2010,Brut
109,Marchesi di Gresy,La Serra Moscato d'Asti 2018,Italy_Moscato d'Asti,4.4,$16.98,Sparkling,Italy,Moscato d'Asti,2018,Moscato
110,Ruffino,Moscato d'Asti 2018,Italy_Moscato d'Asti,4.4,$13.19,Sparkling,Italy,Moscato d'Asti,2018,Moscato
111,Moët & Chandon,Limited Edition Impérial Rosé Champagne N.V.,France_Champagne,4.4,$79.99,Sparkling,France,Champagne,N.V.,Rosé
112,Vve Fourny & Fils,Cuvée du Clos Notre Dame Brut Champagne Premier Cru 2007,France_Champagne Premier Cru,4.4,$164.98,Sparkling,France,Champagne Premier Cru,2007,Brut
113,Pere Ventura,Cava Gran Vintage 2012,Spain_Cava,4.4,$102.99,Sparkling,Spain,Cava,2012,Cava
114,Schramsberg,J. Schram Brut 2009,United States_North Coast,4.4,$89.99,Sparkling,United States,North Coast,2009,Brut
