,winery,wine,rating,wine_style,wine_category,vintage,region,country,price,contact_for_price,wine_style_code,wine_category_code,region_code,country_code
29760,Mumm Napa,Brut Rosé N.V.,3.8,Brut,Sparkling,N.V.,Napa Valley,United States,19.79,,13,4,587,36
29761,Nicolas Feuillatte,Réserve Exclusive Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,34.99,,13,4,192,12
29762,Ferghettina,Franciacorta Brut N.V.,3.8,Brut,Sparkling,N.V.,Lombardia,Italy,44.99,,13,4,469,19
29763,Cleto Chiarli,Vecchia Modena Premium Mention Honorable N.V.,3.8,Sparkling,Sparkling,N.V.,Lambrusco di Sorbara,Italy,14.99,,77,4,450,19
29764,Veuve Ambal,Grande Cuvée Crémant de Bourgogne Brut N.V.,3.8,Crémant,Sparkling,N.V.,Crémant de Bourgogne,France,18.99,,25,4,296,12
29765,Canard-Duchêne,Cuvée Léonie Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,39.99,,13,4,192,12
29766,Bisol,Crede Valdobbiadene Prosecco Superiore Brut N.V.,3.8,Brut,Sparkling,N.V.,Conegliano-Valdobbiadene Prosecco,Italy,19.99,,13,4,262,19
29767,Adami,Bosco di Gica Valdobbiadene Prosecco Superiore Brut N.V.,3.8,Brut,Sparkling,N.V.,Conegliano-Valdobbiadene Prosecco,Italy,21.99,,13,4,262,19
29768,Barone Pizzini,Animante Franciacorta Brut N.V.,3.8,Brut,Sparkling,N.V.,Franciacorta,Italy,29.99,,13,4,358,19
29769,Contadi Castaldi,Franciacorta Rosé N.V.,3.8,Rosé,Sparkling,N.V.,Franciacorta,Italy,25.99,,67,4,358,19
29770,Gustave Lorentz,Crémant D'Alsace Brut N.V.,3.8,Crémant,Sparkling,N.V.,Crémant d'Alsace,France,29.99,,25,4,294,12
29771,Ferrari,Rosé N.V.,3.8,Rosé,Sparkling,N.V.,Trento,Italy,29.99,,67,4,856,19
29772,Jaillance,Tradition Clairette de Die N.V.,3.8,Sparkling,Sparkling,N.V.,Clairette de Die,France,16.98,,77,4,237,12
29773,Cavicchioli,Prosecco N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco,Italy,17.99,,60,4,672,19
29774,Nicolas Feuillatte,Brut Rosé Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,49.99,,13,4,192,12
29775,Bouvet-Ladubay,Excellence Brut Crémant de Loire N.V.,3.8,Crémant,Sparkling,N.V.,Crémant de Loire,France,15.99,,25,4,298,12
29776,Mumm Napa,Cuvée M N.V.,3.8,Sparkling,Sparkling,N.V.,Napa Valley,United States,17.43,,77,4,587,36
29777,Bailly Lapierre,Crémant de Bourgogne Réserve Brut N.V.,3.8,Crémant,Sparkling,N.V.,Crémant de Bourgogne,France,21.99,,25,4,296,12
29778,Dr. Loosen,Dr. L Sparkling Riesling N.V.,3.8,Sparkling,Sparkling,N.V.,Mosel,Germany,13.9,,77,4,557,14
29779,Adami,Garbèl Prosecco Brut N.V.,3.8,Brut,Sparkling,N.V.,Prosecco di Treviso,Italy,17.59,,13,4,673,19
29780,Gloria Ferrer,Blanc de Noirs N.V.,3.8,Blanc de Noir,Sparkling,N.V.,Los Carneros,United States,19.94,,9,4,472,36
29781,Cavicchioli,Prosecco 1928,3.8,Prosecco,Sparkling,1928,Prosecco,Italy,15.99,,60,4,672,19
29782,Bohigas,Reserva Cava Brut N.V.,3.8,Brut,Sparkling,N.V.,Cava,Spain,14.98,,13,4,151,32
29783,Gruet,Blanc de Noirs N.V.,3.8,Blanc de Noir,Sparkling,N.V.,New Mexico,United States,14.99,,9,4,594,36
29784,Famiglia Pasqua,Romeo & Juliet Prosecco N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco di Treviso,Italy,13.99,,60,4,673,19
29785,Marsuret,Il Soller Prosecco di Valdobbiadene Superiore Extra Dry N.V.,3.8,Prosecco,Sparkling,N.V.,Conegliano-Valdobbiadene Prosecco,Italy,27.99,,60,4,262,19
29786,J. de Telmont,Grande Réserve Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,31.48,,13,4,192,12
29787,Veuve A. Devaux,Grande Réserve Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,39.99,,13,4,192,12
29788,Collet,Art Déco Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,58.99,,13,4,192,12
29789,Veuve du Vernay,Ice N.V.,3.8,Sparkling,Sparkling,N.V.,Vin de France,France,13.94,,77,4,906,12
29790,Gérard Bertrand,Thomas Jefferson Crémant de Limoux Brut N.V.,3.8,Crémant,Sparkling,N.V.,Crémant de Limoux,France,16.49,,25,4,297,12
29791,Canard-Duchêne,Authentic Rosé Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,39.58,,13,4,192,12
29792,Langlois-Chateau,Crémant de Loire Brut Rosé N.V.,3.8,Crémant,Sparkling,N.V.,Crémant de Loire,France,21.99,,25,4,298,12
29793,La Tordera,Alné Prosecco Treviso Millesimato N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco di Treviso,Italy,14.99,,60,4,673,19
29794,Rolet,Crémant du Jura Brut N.V.,3.8,Crémant,Sparkling,N.V.,Crémant du Jura,France,24.99,,25,4,299,12
29795,Cleto Chiarli,Brut de Noir Rosé N.V.,3.8,Brut,Sparkling,N.V.,Emilia-Romagna,Italy,16.95,,13,4,339,19
29796,Berlucchi,‘61 Franciacorta Rosé N.V.,3.8,Rosé,Sparkling,N.V.,Franciacorta,Italy,44.99,,67,4,358,19
29797,Cleto Chiarli,Vigneto Cialdini N.V.,3.8,Sparkling,Sparkling,N.V.,Lambrusco Grasparossa di Castelvetro,Italy,17.59,,77,4,449,19
29798,Zonin,Asti N.V.,3.8,Sparkling,Sparkling,N.V.,Asti,Italy,15.99,,77,4,53,19
29799,Bouvet-Ladubay,Excellence Brut Rosé N.V.,3.8,Brut,Sparkling,N.V.,Loire Valley,France,13.99,,13,4,468,12
29800,Ayala,Brut Nature Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,58.99,,13,4,192,12
29801,Mionetto,Cuvée Sergio 1887 N.V.,3.8,Sparkling,Sparkling,N.V.,Veneto,Italy,19.99,,77,4,887,19
29802,Nomine-Renard,Brut Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,45.99,,13,4,192,12
29803,Freixenet,Cuvée Especial Ice Rosé N.V.,3.8,Rosé,Sparkling,N.V.,Cava,Spain,16.99,,67,4,151,32
29804,Raventos I Blanc,Cava Reserva Brut L'Hereu (Blanc de Blancs) 2016,3.8,Brut,Sparkling,2016,Penedès,Spain,18.99,,13,4,644,32
29805,Botter,Casa di Malia Prosecco (Organic) N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco,Italy,17.99,,60,4,672,19
29806,Fiol,Prosecco N.V.,3.8,Prosecco,Sparkling,N.V.,Prosecco,Italy,17.99,,60,4,672,19
29807,Lucien Albrecht,Cremant d'Alsace Brut N.V.,3.8,Brut,Sparkling,N.V.,Crémant d'Alsace,France,16.9,,13,4,294,12
29808,Simonnet-Febvre,Crémant de Bourgogne Brut Rosé N.V.,3.8,Crémant,Sparkling,N.V.,Crémant de Bourgogne,France,12.99,,25,4,296,12
29809,Pierre Sparr,Réserve Crémant d'Alsace Brut N.V.,3.8,Crémant,Sparkling,N.V.,Crémant d'Alsace,France,21.99,,25,4,294,12
29810,Szigeti,Grüner Veltliner Brut N.V.,3.8,Brut,Sparkling,N.V.,Niederösterreich,Austria,23.99,,13,4,597,3
29811,Marsuret,San Boldo Prosecco di Valdobbiadene Superiore Brut N.V.,3.8,Brut,Sparkling,N.V.,Conegliano-Valdobbiadene Prosecco,Italy,22.99,,13,4,262,19
29812,Vollereaux,Brut Réserve Champagne N.V.,3.8,Brut,Sparkling,N.V.,Champagne,France,29.99,,13,4,192,12
29813,Le Contesse,Prosecco Treviso Brut N.V.,3.8,Brut,Sparkling,N.V.,Prosecco di Treviso,Italy,18.99,,13,4,673,19
29814,Langmann,Schilcher Frizzante N.V.,3.8,Sparkling,Sparkling,N.V.,Steiermark,Austria,17.99,,77,4,819,3
29815,Mumm Napa,Blanc de Blancs N.V.,3.8,Blanc de Blanc,Sparkling,N.V.,Napa Valley,United States,18.99,,8,4,587,36
29816,Diebolt - Vallois,Tradition Brut Champagne Grand Cru 'Cramant' N.V.,3.8,Brut,Sparkling,N.V.,Champagne Grand Cru 'Cramant',France,56.99,,13,4,199,12
