,winery,wine,location,rating,price
1008,Château de Béru,Terroirs de Béru Chablis 2017,"France
·
Chablis",3.9,$45
1009,Belondrade,Belondrade y Lurton 2017,"Spain
·
Rueda",4.4,$45
1010,Château Carbonnieux,Pessac-Léognan Blanc (Grand Cru Classé de Graves) 2013,"France
·
Pessac-Léognan",4.0,$45
1011,Thibaud Boudignon,Anjou Blanc 2018,"France
·
Anjou",4.1,$45
1012,Marchesi di Barolo,Gavi del Comune di Gavi 2017,"Italy
·
Gavi",4.0,$45
1013,Fefiñanes,Albariño de Fefiñanes III Año 2016,"Spain
·
Rías Baixas",4.2,$45
1014,Manincor,Eichhorn Pinot Bianco 2017,"Italy
·
Südtirol - Alto Adige",4.1,$44.99
1015,Winderlea,Chardonnay 2013,"United States
·
Willamette Valley",3.9,$44.99
1016,Sinegal,Sauvignon Blanc 2017,"United States
·
St. Helena",4.4,$44.99
1017,Donnafugata,Contessa Entellina Chiarandà 2016,"Italy
·
Contessa Entellina",4.1,$44.99
1018,Inglenook,Blancaneaux 2015,"United States
·
Rutherford",3.8,$44.99
1019,Sergio Mottura,Latour a Civitella 2015,"Italy
·
Civitella d'Agliano",3.9,$44.99
1020,Château Smith Haut-Lafitte,Les Hauts de Smith Pessac-Leognan Blanc 2017,"France
·
Pessac-Léognan",3.7,$44.99
1021,Robert Weil,Riesling Trocken 2014,"Germany
·
Rheingau",3.8,$44.99
1022,Vie di Romans,Chardonnay 2016,"Italy
·
Friuli Isonzo",4.2,$44.99
1023,Alzinger,Smaragd Mühlpoint Grüner Veltliner 2017,"Austria
·
Wachau",4.1,$44.99
1024,Domane Krems,Ried Wachtberg 1 ÖTW Reserve Grüner Veltliner 2015,"Austria
·
Kremstal",4.1,$44.99
1025,Alzinger,Smaragd Mühlpoint Grüner Veltliner 2017,"Austria
·
Wachau",4.1,$44.99
1026,Grgich Hills,Chardonnay 2015,"United States
·
Napa Valley",4.1,$44.99
1027,Ogier,Clos de l'Oratoire des Papes Châteauneuf-du-Pape Blanc 2016,"France
·
Châteauneuf-du-Pape",4.0,$44.99
1028,Joseph Mellot,La Gravelière Sancerre 2017,"France
·
Sancerre",4.1,$44.99
1029,Domaine Blain-Gagnard,Chassagne-Montrachet 2017,"France
·
Chassagne-Montrachet",4.1,$44.99
1030,Trefethen,Harmony Chardonnay 2014,"United States
·
Oak Knoll District",3.7,$44.99
1031,Saintsbury,Sangiacomo Green Acres Chardonnay 2015,"United States
·
Los Carneros",4.3,$44.99
1032,Venge Vineyards,Chardonnay Maldonado Vineyard Dijon Clones 2016,"United States
·
Napa Valley",4.3,$44.99
1033,Les Cretes,Cuvée Bois Chardonnay 2016,"Italy
·
Valle d'Aosta",4.1,$44.99
1034,Louis Michel & Fils,Chablis Premier Cru Forets 2015,"France
·
Chablis Premier Cru",3.9,$44.99
1035,Loimer,Loiserberg Grüner Veltliner 2016,"Austria
·
Kamptal",3.9,$44.99
1036,Bernard Defaix,Chablis 1er Cru 'Côte de Lechet' 2016,"France
·
Chablis 1er Cru 'Côte de Lechet'",4.1,$44.99
1037,Pine Ridge,Carneros Collines Vineyard Chardonnay 2016,"United States
·
Los Carneros",3.8,$44.99
1038,Grgich Hills,Chardonnay 2014,"United States
·
Napa Valley",4.2,$44.99
1039,Azores Wine Company,Verdelho o Original 2018,"Portugal
·
Pico",4.0,$44.99
1040,Yves Leccia,Patrimonio Blanc 2016,"France
·
Patrimonio",4.1,$44.99
1041,Stag's Leap Wine Cellars,KARIA Chardonnay 2016,"United States
·
Napa Valley",4.0,$44.99
1042,La Scolca,Gavi La Scolca (White label) 2016,"Italy
·
Gavi",3.8,$44.99
1043,Markus Molitor,Ürziger Würzgarten Riesling Kabinett 2016,"Germany
·
Mosel",3.9,$44.99
1044,Liquid Farm,Chardonnay La Hermana 2015,"United States
·
Santa Maria Valley",3.7,$44.99
1045,Les Héritiers du Comte Lafon,Saint-Véran 2017,"France
·
Saint-Véran",3.7,$44.99
1046,Roar,Sierra Mar Vineyard Chardonnay 2015,"United States
·
Santa Lucia Highlands",4.1,$44.99
1047,Alheit Vineyards,Hemelrand Vine Garden 2017,"South Africa
·
Western Cape",4.3,$44.99
1048,Jean-Marc Brocard,Chablis Premier Cru 'Fourchaume' 2017,"France
·
Chablis 1er Cru 'Fourchaume'",4.2,$44.99
1049,Gérard Bertrand,Domaine De Cigalus White 2018,"France
·
Vin de Pays",4.1,$44.99
