,winery,wine,location,rating,price
156,Taittinger,Les Folies de la Marquetterie Champagne N.V.,"France
·
Champagne",4.1,$109.99
157,Taittinger,Nocturne Rosé Champagne N.V.,"France
·
Champagne",4.0,$109.99
158,Lanson,Extra Age Brut Rosé Champagne N.V.,"France
·
Champagne",4.2,$109.99
159,Boizel,Grand Vintage Champagne 2007,"France
·
Champagne",4.0,$108.99
160,Louis de Sacy,Brut Rosé Champagne Grand Cru N.V.,"France
·
Champagne Grand Cru",4.0,$103.99
161,Pere Ventura,Cava Gran Vintage 2012,"Spain
·
Cava",4.4,$102.99
162,Larmandier-Bernier,Rosé de Saignée Champagne Premier Cru N.V.,"France
·
Champagne Premier Cru",4.1,$102.99
163,Francoise Bedel,l'Ame de la Terre Millésimé Brut Champagne 2005,"France
·
Champagne",4.2,$100.99
164,Larmandier-Bernier,Terre de Vertus Champagne Premier Cru 2013,"France
·
Champagne Premier Cru",4.2,$100.99
165,Moussé Fils,Special Club Champagne 2012,"France
·
Champagne",4.4,$99.99
166,Moët & Chandon,Grand Vintage Brut Champagne 2006,"France
·
Champagne",4.2,$99.99
167,H. Goutorbe,Special Club Brut Champagne Grand Cru 'Aÿ' 2006,"France
·
Champagne Grand Cru 'Aÿ'",4.3,$99.99
168,Beau Joie,Sugar King Demi-Sec Champagne (Special Cuvée) N.V.,"France
·
Champagne",4.2,$99.99
169,Sea Smoke,Sea Spray Blanc de Noirs 2011,"United States
·
Sta. Rita Hills",4.3,$99.99
170,Taittinger,Millésimé Brut Champagne 2012,"France
·
Champagne",4.2,$99.99
171,Argyle,Brut Rosé 2012,"United States
·
Dundee Hills",4.1,$99.99
172,Georges Laval,Cumières Brut Nature Champagne Premier Cru N.V.,"France
·
Champagne Premier Cru",4.2,$99.99
173,Gaston Chiquet,Spécial Club Brut Champagne 2009,"France
·
Champagne",4.4,$99.99
174,Vilmart & Cie,Cuvée Rubis Brut Champagne Premier Cru N.V.,"France
·
Champagne Premier Cru",4.1,$99.99
175,Besserat de Bellefon,Brut Champagne 2008,"France
·
Champagne",4.1,$99.99
176,Veuve Clicquot,Brut Rosé Champagne 2008,"France
·
Champagne",4.2,$99.99
177,Schramsberg,J. Schram Brut 2004,"United States
·
North Coast",4.5,$99.99
178,Andre Clouet,Un Jour de 1911 Brut Champagne Grand Cru 'Bouzy' N.V.,"France
·
Champagne Grand Cru 'Bouzy'",4.3,$99.95
179,Gosset,Brut Grand Millesimé Champagne 2012,"France
·
Champagne",4.0,$99
180,Schramsberg,J. Schram Brut 2008,"United States
·
North Coast",4.5,$99
181,Collet,Esprit Couture Brut Champagne N.V.,"France
·
Champagne",3.9,$98.99
182,Charles Heidsieck,Brut Champagne N.V.,"France
·
Champagne",4.2,$98.98
183,J-M Sélèque,Le Quintette Chardonnay 5 Terroirs Extra Brut Champagne N.V.,"France
·
Champagne",4.0,$97.99
184,Gosset,Grand Blanc de Blancs Brut Champagne N.V.,"France
·
Champagne",4.1,$97.99
185,Gloria Ferrer,Carneros Cuvée 2005,"United States
·
Los Carneros",4.5,$95.99
186,Pierre Gimonnet & Fils,Cuvée Oenophile Non Dose Extra Brut Champagne Premier Cru 2012,"France
·
Champagne Premier Cru",4.1,$95.99
187,Besserat de Bellefon,Blanc de Noirs Brut Champagne Grand Cru N.V.,"France
·
Champagne Grand Cru",3.9,$95.99
188,Besserat de Bellefon,Blanc de Blancs Brut Champagne N.V.,"France
·
Champagne",4.1,$95.99
189,Christophe Mignon,Brut Nature Champagne 2013,"France
·
Champagne",3.9,$95.99
190,Agusti Torello Mata,Cava Kripta Gran Reserva Brut Nature 2010,"Spain
·
Cava",4.4,$95
191,Jacquesson,Cuvée No 741 Extra Brut Champagne N.V.,"France
·
Champagne",4.1,$95
192,Guy Larmandier,Signé François Grand Cru Vieilles Vignes Blanc de Blancs Brut 2008,"France
·
Champagne",4.2,$95
193,Gaston Chiquet,Spécial Club Brut Champagne 2007,"France
·
Champagne",4.2,$94.99
194,Philipponnat,Grand Blanc Brut Champagne 2008,"France
·
Champagne",4.1,$94.99
195,Louis Roederer,Brut Premier Champagne 2009,"France
·
Champagne Premier Cru",4.1,$94.99
196,Veuve Clicquot,Extra Brut Extra Old Champagne N.V.,"France
·
Champagne",4.2,$94.99
197,Barons de Rothschild (Lafite),Rosé Champagne N.V.,"France
·
Champagne",4.1,$94.99
198,Pierre Paillard,La Grande Récolte Extra Brut Champagne Grand Cru 'Bouzy' N.V.,"France
·
Champagne Grand Cru 'Bouzy'",4.2,$93.48
199,Leclerc Briant,Millesimé Extra Brut Champagne 2013,"France
·
Champagne",4.2,$92.99
200,Thienot,Brut Rosé Champagne N.V.,"France
·
Champagne",3.9,$92.99
201,Weingut Bründlmayer,Blanc de Blancs Extra Brut Reserve N.V.,"Austria
·
Kamptal",4.1,$90.99
202,Pommery,Blanc de Blancs Champagne N.V.,"France
·
Champagne",3.9,$90.99
203,A Margaine,Spécial Club Blanc de Blancs Champagne 2012,"France
·
Champagne",4.0,$90
204,Bereche & Fils,Les Beaux Regards Chardonnay Champagne N.V.,"France
·
Champagne",4.1,$90
205,Ployez-Jacquemart,Extra Brut Vintage Champagne 2008,"France
·
Champagne",4.5,$89.99
206,Boizel,Ultime Extra Brut Champagne N.V.,"France
·
Champagne",3.9,$89.99
207,Le Brun Servenay,Vieilles Vignes Brut Millésime Champagne Grand Cru 'Avize' 2006,"France
·
Champagne Grand Cru 'Avize'",4.2,$89.99
