,winery,wine,location,rating,price
104,Veuve Clicquot,Vintage Brut Champagne N.V.,"France
·
Champagne",4.2,$84.99
105,Contadi Castaldi,Franciacorta Brut N.V.,"Italy
·
Franciacorta",3.7,$29.99
106,Nicolas Feuillatte,Brut Champagne N.V.,"France
·
Champagne",3.7,$32.94
107,Bottega,Gold N.V.,"Italy
·
Veneto",3.7,$28.99
108,Taittinger,Prestige Rosé Brut Champagne N.V.,"France
·
Champagne",4.1,$65.99
109,I Vignaioli di S. Stefano,Moscato d'Asti N.V.,"Italy
·
Moscato d'Asti",4.2,$24.99
110,Taittinger,Prélude Grands Crus Brut Champagne N.V.,"France
·
Champagne",4.2,$79.90
111,Bottega,Prosecco Il Vino Dei Poeti N.V.,"Italy
·
Prosecco",3.6,$19.99
112,Raventos I Blanc,Cava Reserva Brut L'Hereu (Blanc de Blancs) N.V.,"Spain
·
Penedès",3.8,$19.79
113,Juvé & Camps,Cava Reserva Brut Cinta Purpura N.V.,"Spain
·
Cava",3.6,$16.99
114,Zonin,Prosecco Cuvée 1821 N.V.,"Italy
·
Prosecco",3.6,$11.99
115,Fantinel,Prosecco Extra Dry N.V.,"Italy
·
Prosecco",3.6,$19.99
116,Castillo Perelada,Cava Brut Reserva N.V.,"Spain
·
Cava",3.5,$14.99
117,Mondoro,Asti N.V.,"Italy
·
Asti",4.1,$12.98
118,Taittinger,Comtes de Champagne Blanc de Blancs 2006,"France
·
Champagne",4.5,$189.99
119,Domaine Carneros,Brut N.V.,"United States
·
Los Carneros",4.0,$32.94
120,Pierre Gimonnet & Fils,Blanc de Blancs Cuvée Cuis Brut Champagne 1er Cru N.V.,"France
·
Champagne Premier Cru",4.0,$65.99
121,Mionetto,Prestige Collection Extra Dry Prosecco Treviso N.V.,"Italy
·
Prosecco di Treviso",3.6,$20.99
122,Egly-Ouriet,Brut Tradition Champagne Grand Cru 'Ambonnay' N.V.,"France
·
Champagne Grand Cru 'Ambonnay'",4.3,$79.99
123,Freixenet,Prosecco N.V.,"Italy
·
Prosecco",3.6,$16.94
124,Louis Roederer,Cristal Brut Champagne (Millésimé) 2009,"France
·
Champagne",4.6,$229.99
125,Laurent-Perrier,La Cuvée Brut Champagne N.V.,"France
·
Champagne",4.0,$41.79
126,Lanson,Brut Rosé (Rose Label) Champagne N.V.,"France
·
Champagne",3.9,$49.99
127,Vietti,Cascinetta Moscato d'Asti N.V.,"Italy
·
Moscato d'Asti",4.2,$16.49
128,Graham Beck,Brut (Chardonnay - Pinot Noir) N.V.,"South Africa
·
Robertson",3.8,$14.99
129,Charles de Fére,Brut Blanc de Blancs Cuvée Jean-Louis N.V.,"France
·
Loire Valley",3.3,$12.99
130,La Spinetta,Bricco Quaglia Moscato d'Asti N.V.,"Italy
·
Moscato d'Asti",4.1,$19.99
131,Saint-Hilaire,Brut N.V.,"France
·
Blanquette de Limoux",3.8,$16.99
132,Mumm Napa,Brut Rosé N.V.,"United States
·
Napa Valley",3.8,$19.79
133,Francois Montand,Blanc de Blancs Brut N.V.,"France
·
Jura",3.5,$11.99
134,Delamotte,Blanc de Blancs Brut Champagne Grand Cru 'Le Mesnil-sur-Oger' N.V.,"France
·
Champagne Grand Cru 'Le Mesnil-sur-Oger'",4.1,$49.99
135,Francis Ford Coppola,Sofia Blanc de Blancs N.V.,"United States
·
Monterey County",3.7,$16.94
136,Moët & Chandon,Grand Vintage Rosé Brut Champagne N.V.,"France
·
Champagne",4.2,$87.98
137,G.H. Mumm,Grand Cordon Brut Champagne N.V.,"France
·
Champagne",3.9,$39.99
138,Berlucchi,‘61 Franciacorta Brut N.V.,"Italy
·
Lombardia",3.7,$43.99
139,Nicolas Feuillatte,Réserve Exclusive Brut Champagne N.V.,"France
·
Champagne",3.8,$34.99
140,Ferghettina,Franciacorta Brut N.V.,"Italy
·
Lombardia",3.8,$44.99
141,Veuve du Vernay,Brut Rosé N.V.,"France
·
Beaune",3.7,$10.98
142,Jacquesson,Cuvée No 739 Extra-Brut Champagne N.V.,"France
·
Champagne",4.2,$70.99
143,Domaine Ste. Michelle,Brut N.V.,"United States
·
Puget Sound",3.6,$10.99
144,Canard-Duchêne,Charles VII Grande Cuvée Brut Champagne N.V.,"France
·
Champagne",4.0,$53.99
145,Chartogne-Taillet,Sainte Anne Brut N.V.,"France
·
Champagne",3.9,$49.94
146,Bollinger,La Grande Année Brut Champagne 2004,"France
·
Champagne",4.5,$118.99
147,Billecart-Salmon,Blanc de Blancs Brut Champagne Grand Cru N.V.,"France
·
Champagne Grand Cru",4.3,$84.99
148,Chandon,Brut Rosé N.V.,"Australia
·
Victoria",3.6,$20.99
149,Cleto Chiarli,Vecchia Modena Premium Mention Honorable N.V.,"Italy
·
Lambrusco di Sorbara",3.8,$14.99
150,Agrapart & Fils,Terroirs Blanc de Blancs Extra Brut Champagne Grand Cru 'Avize' N.V.,"France
·
Champagne Grand Cru 'Avize'",4.2,$68.99
151,Bereche & Fils,Brut Réserve Champagne N.V.,"France
·
Champagne",4.1,$48
152,Stella Rosa,Moscato d'Asti N.V.,"Italy
·
Moscato d'Asti",4.3,$11.89
153,Veuve Ambal,Grande Cuvée Crémant de Bourgogne Brut N.V.,"France
·
Crémant de Bourgogne",3.8,$18.99
154,Moët & Chandon,Grand Vintage Brut Champagne 2006,"France
·
Champagne",4.2,$99.99
155,Canard-Duchêne,Cuvée Léonie Brut Champagne N.V.,"France
·
Champagne",3.8,$39.99
156,Henriot,Blanc de Blancs Champagne N.V.,"France
·
Champagne",4.0,$59.99
157,Egly-Ouriet,Les Vignes de Vrigny Brut Champagne Premier Cru N.V.,"France
·
Champagne Premier Cru",4.2,$79.99
158,Ruggeri,Giall'Oro Valdobbiadene Prosecco Superiore N.V.,"Italy
·
Conegliano-Valdobbiadene Prosecco",3.9,$19.99
159,Juvé & Camps,Cava Pinot Noir Rosé Brut N.V.,"Spain
·
Cava",3.7,$15.94
160,Louis Roederer,Cristal Brut Champagne (Millésimé) 2007,"France
·
Champagne",4.6,$299.99
161,Bisol,Crede Valdobbiadene Prosecco Superiore Brut N.V.,"Italy
·
Conegliano-Valdobbiadene Prosecco",3.8,$19.99
162,Le Mesnil,Blanc de Blancs Vintage Brut Champagne Grand Cru N.V.,"France
·
Champagne Grand Cru",4.0,$42
163,Duval-Leroy,Brut Champagne N.V.,"France
·
Champagne",3.7,$39.99
164,Aubry,Brut Champagne Premier Cru N.V.,"France
·
Champagne Premier Cru",3.9,$44.94
165,Adami,Bosco di Gica Valdobbiadene Prosecco Superiore Brut N.V.,"Italy
·
Conegliano-Valdobbiadene Prosecco",3.8,$21.99
166,Langlois-Chateau,Crémant de Loire Brut N.V.,"France
·
Crémant de Loire",3.7,$24.99
167,Besserat de Bellefon,Brut Champagne N.V.,"France
·
Champagne",4.0,$49.99
168,Veuve Clicquot,La Grande Dame Brut Champagne 2006,"France
·
Champagne",4.5,$159.99
169,Chandon,Rosé N.V.,"United States
·
California",3.7,$17.99
