,winery,wine,location,rating,price
138,Quinta de Ventozelo,Vintage Port N.V.,"Portugal
·
Porto",4.0,$29.99
139,Niepoort,Vintage Port 2003,"Portugal
·
Porto",4.3,$75.99
140,Alvear,Pedro Ximénez de Añada 2015,"Spain
·
Montilla-Moriles",3.9,$26.99
141,Emilio Hidalgo,El Tresillo Amontillado Fino N.V.,"Spain
·
Amontillado Sherry",3.9,$79.99
142,Broadbent,Madeira Colheita N.V.,"Portugal
·
Madeira",4.2,$60
143,Fonseca,Vintage Port 1985,"Portugal
·
Porto",4.5,$192.99
144,Taylor's,Quinta de Vargellas Vintage Port 1998,"Portugal
·
Porto",4.2,$63.99
145,Fonseca,40 Year Old Tawny Port N.V.,"Portugal
·
Porto",4.6,$224.99
146,Taylor's,10 Year Old Tawny Port 2014,"Portugal
·
Porto",3.9,$27.99
147,Lustau,Jerez-Xeres-Sherry 30 Year Old Palo Cortado VORS N.V.,"Spain
·
Jerez-Xérès-Sherry",4.1,$109.99
148,Poças,30 Years Old Tawny Porto N.V.,"Portugal
·
Porto",4.2,$69.99
149,Poças,10 Years Old Tawny Porto 2010,"Portugal
·
Porto",3.7,$26.99
150,Dow's,10 Years Old Tawny Port 2010,"Portugal
·
Porto",4.0,$35.99
151,Diez Mérito,Bertola Palo Cortado 12 Años N.V.,"Spain
·
Palo Cortado Sherry",4.0,$42.99
152,Dow's,Crusted Port N.V.,"Portugal
·
Porto",4.0,$29.99
153,Messias,Porto 30 Anos N.V.,"Portugal
·
Porto",4.3,$90.99
154,D'Oliveiras,Terrantez Madeira 1988,"Portugal
·
Madeira",4.3,$189.99
155,Valdespino,Single Vineyard Palo Cortado Viejo C.P Dry N.V.,"Spain
·
Palo Cortado Sherry",4.2,$44.99
156,Fonseca,Vintage Port 2011,"Portugal
·
Porto",4.6,$99.99
157,Taylor's,10 Year Old Tawny Port 2010,"Portugal
·
Porto",4.1,$33.99
158,Rozès,Over 40 Years Old Porto N.V.,"Portugal
·
Porto",4.6,$157.99
159,Bodegas Yuste,La Kika Manzanilla Sherry N.V.,"Spain
·
Manzanilla",3.9,$34.99
160,Quinta do Noval,Vintage Port 2003,"Portugal
·
Porto",4.5,$97.99
161,Henriques & Henriques,Bual 15 Years Old Madeira N.V.,"Portugal
·
Madeira",4.2,$74.99
162,Broadbent,Madeira Colheita 1996,"Portugal
·
Madeira",4.2,$59.97
163,Quinta da Romaneira,Late Bottled Vintage Port Unfiltered 2012,"Portugal
·
Porto",3.9,$25.29
164,Dow's,Vintage Port 2003,"Portugal
·
Porto",4.4,$130.99
165,W. & J. Graham's,Vintage Port 2016,"Portugal
·
Porto",4.3,$119.97
166,Diez Mérito,Bertola 12 Year Old Amontillado Sherry N.V.,"Spain
·
Amontillado Sherry",3.8,$39.99
167,Williams & Humbert,Dry Sack Fino N.V.,"Spain
·
Fino Sherry",2.9,$34.99
168,Fonseca,Vintage Port 2009,"Portugal
·
Porto",4.2,$146.99
169,Dow's,Boardroom Reserve Tawny Port N.V.,"Portugal
·
Porto",3.9,$25.99
170,Ferreira,Vintage Port 2011,"Portugal
·
Porto",4.5,$84.99
171,Ramos Pinto,Vintage Porto 1982,"Portugal
·
Porto",4.5,$135.99
172,Lustau,Jerez-Xeres-Sherry 30 Year Old Amontillado VORS N.V.,"Spain
·
Jerez-Xérès-Sherry",4.2,$109.99
173,Warre's,Vintage Port 2000,"Portugal
·
Porto",4.2,$76.99
174,Warre's,Vintage Port 2011,"Portugal
·
Porto",4.3,$99.99
175,C. da Silva,Presidential 20 Years Old Porto N.V.,"Portugal
·
Porto",4.2,$59.99
176,Quinta do Vale Meão,Vintage Port 2012,"Portugal
·
Porto",4.3,$70.99
177,Churchill's,Vintage Port 2003,"Portugal
·
Porto",4.1,$99.99
178,Niepoort,Vintage Port 2015,"Portugal
·
Porto",4.1,$89.99
179,Fonseca,Vintage Port 2003,"Portugal
·
Porto",4.3,$86.99
180,Offley,Vintage Port Boa Vista 2000,"Portugal
·
Porto",4.0,$49.99
181,Alvear,Fino Capataz N.V.,"Spain
·
Montilla-Moriles",3.5,$35.99
182,Taylor's,Vintage Port 2016,"Portugal
·
Porto",4.4,$111.94
183,Dow's,Boardroom Finest Old Tawny Port N.V.,"Portugal
·
Porto",3.8,$29.99
184,Cockburn's,Vintage Port 2011,"Portugal
·
Porto",4.4,$74.99
