,winery,wine,location,rating,price,wine_category,country,region,vintage,wine_style
141,Penfolds,Bin 407 Cabernet Sauvignon N.V.,Australia_South Australia,4.1,$71.95,red,Australia,South Australia,N.V.,Cabernet Sauvignon
142,Raymond,Reserve Selection Cabernet Sauvignon N.V.,United States_Napa Valley,4.0,$32.99,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
143,Pulenta Estate,Gran Malbec (X) N.V.,Argentina_Mendoza,4.3,$47.29,red,Argentina,Mendoza,N.V.,Malbec
144,Seghesio,Old Vine Zinfandel N.V.,United States_Sonoma County,4.1,$40.69,red,United States,Sonoma County,N.V.,Zinfandel
145,Atalaya,Alaya Tierra (Old Vines Vieilles Vignes) N.V.,Spain_Almansa,4.4,$32.99,red,Spain,Almansa,N.V.,Blend
146,Dal Forno Romano,Valpolicella Superiore Monte Lodoletta N.V.,Italy_Valpolicella,4.5,$99.94,red,Italy,Valpolicella,N.V.,Valpolicella
147,Alto Moncayo,Garnacha N.V.,Spain_Campo de Borja,4.3,$42.89,red,Spain,Campo de Borja,N.V.,Blend
148,Stags' Leap,The Investor Red N.V.,United States_Napa Valley,4.2,$34.46,red,United States,Napa Valley,N.V.,Blend
149,Beaulieu Vineyard (BV),Georges De Latour Private Reserve Cabernet Sauvignon N.V.,United States_Napa Valley,4.4,$142.99,red,United States,Napa Valley,N.V.,Cabernet Sauvignon
150,Zenato,Amarone della Valpolicella Classico Riserva (Sergio Zenato) N.V.,Italy_Amarone della Valpolicella Classico,4.4,$142.98,red,Italy,Amarone della Valpolicella Classico,N.V.,Valpolicella
151,Ridge Vineyards,Monte Bello N.V.,United States_Santa Cruz Mountains,4.5,$219.98,red,United States,Santa Cruz Mountains,N.V.,Blend
152,Mastroberardino,Taurasi Radici N.V.,Italy_Taurasi,4.1,$43.98,red,Italy,Taurasi,N.V.,Blend
153,Tenuta Argentiera,Villa Donoratico Bolgheri N.V.,Italy_Bolgheri,4.0,$32.99,red,Italy,Bolgheri,N.V.,Blend
154,Tenute Silvio Nardi,Brunello di Montalcino N.V.,Italy_Brunello di Montalcino,4.1,$59.99,red,Italy,Brunello di Montalcino,N.V.,Brunello
